Firm,year,CASH_ASSET,SIZE,MTB,LEV,DIV,CFO,VOL,RD,LIQ,CAPEX,TANG,AGE,SG
BH,2017,0.076971824,6.969399616,0.930768421,0.247974772,0,0.020252279,0.020368071,0,-0.098458608,0.014429514,0.636240297,54,-0.012083625
CUO,2017,0.006146274,4.412664951,0.728885063,0.0424299,0,0.066093661,0.031419204,0,0.299070179,0.076482925,1.372413291,57,0.008034725
CLR,2017,0.003091766,9.560972666,2.038349492,0.447454025,0,0.160920645,0.044788093,0,-0.008621268,0.233379609,1.550581983,43,0.575958466
CTB,2017,0.142531354,7.866237307,1.258348222,0.129173401,1,0.160114045,0.029020769,0.020972404,0.196062867,0.121565266,0.948953786,57,-0.02400552
COO,2017,0.018276494,8.488526191,2.534740568,0.241360858,1,0.135591825,0.001045847,0.032351566,0.096383806,0.07052442,0.361722271,35,0.087545645
TAP,2017,0.013839435,10.31714898,1.147181298,0.376474945,1,0.086845263,0.040902862,0,-0.05383031,0.051439982,0.223834509,42,1.252364381
GLW,2017,0.157016076,10.22172308,1.510999491,0.186513421,1,0.103549865,0.002456909,0.085013839,0.047319415,0.129264567,0.902960646,57,0.077316294
CBRL,2017,0.105786554,7.32774243,3.153663438,0.262822105,1,0.262211044,0.016249655,0,-0.116937439,0.110066612,1.375511025,43,0.004785824
CR,2017,0.196521497,8.186881937,2.100748195,0.20690135,1,0.137637401,0.00066441,0.020997846,-0.007012662,0.023486851,0.233588424,57,0.013828239
CCK,2017,0.039763669,9.274535084,1.651976461,0.501078496,0,0.128950577,0.007013124,0.004483789,-0.056269343,0.090218513,0.64878552,57,0.049975857
CUB,2017,0.051319142,7.197648655,1.680622509,0.190648701,1,0.052987948,0.001644855,0.035435347,0.132072874,0.065019812,0.1846642,57,0.016553725
CMI,2017,0.086694329,9.802285047,2.212831425,0.110982019,1,0.141908714,0.008705563,0.035843344,0.093167358,0.055435685,0.445809129,57,0.167702572
CW,2017,0.146808676,8.08219247,2.189223628,0.251563118,1,0.135875891,0.002014678,0.026555398,0.103742181,0.046603226,0.320708607,57,0.076861215
DST,2017,0.027397726,7.985552428,1.830287591,0.211285821,1,0.154958818,0.018550099,0,-0.004798856,0.116227622,0.458103601,35,0.424937368
WEN,2017,0.049812811,8.317995144,1.82403103,0.672307465,1,0.090480256,0.013704439,0,-0.006563194,0.066049816,0.427812186,57,-0.147699137
DAN,2017,0.113926293,8.638348313,1.642795507,0.318745571,1,0.139440113,0.009555974,0.01414898,0.095145287,0.156094968,0.595854004,57,0.23738414
DHR,2017,0.01351166,10.7503982,1.821036687,0.225560896,1,0.094720956,0.003013151,0.061583114,0.030598989,0.04062287,0.106626994,47,0.085728332
DWSN,2017,0.233578233,5.107386859,0.800496012,0.04759801,0,0.010863119,0.027097375,0,0.125279899,0.133921979,1.863033927,37,0.178639466
TGT,2017,0.067770968,10.57129128,1.606060425,0.297110182,1,0.173132644,0.014932759,0,-0.084104721,0.091617734,1.107695069,51,0.034304626
DAL,2017,0.049519628,10.88354151,1.482119042,0.165765969,1,0.156665166,0.011355242,0,-0.250844404,0.113788186,0.762966299,57,0.040490426
DLX,2017,0.026819665,7.700216884,2.208648536,0.321120667,1,0.236046553,0.01416405,0,-0.041670986,0.058476739,0.200404106,54,0.063001673
ATGE,2017,0.110244227,7.746748033,1.412120625,0.054018198,1,0.135179891,0.001377565,0,-0.0696744,0.029082965,0.463151162,35,-0.018300148
DEWY,2017,0.137411348,1.219058442,1.29213948,0.147754137,0,-0.279550827,0.22015152,0,0.234338061,0.020094563,1.846335697,49,-0.431063975
DBD,2017,0.117443145,8.56602145,1.145782951,0.353091311,1,0.036379566,0.011247487,0.033736142,0.01759933,0.008913946,0.149194316,57,0.38989235
NSYS,2017,0.014956321,3.952876999,0.827158299,0.295209753,0,0.023519247,0.016803379,0,0.363693962,0.077872708,0.700566382,33,-0.036759788
DDS,2017,0.050917341,8.208810056,0.994449017,0.198831853,1,0.136884799,0.006867004,0,0.136972189,0.051875914,1.150971001,49,0.000727173
DIOD,2017,0.13997567,7.305640398,1.387629184,0.18148848,0,0.125591047,0.020746388,0.073872799,0.138904917,0.133815821,0.699228104,49,0.118920101
DIS,2017,0.042207352,10.91680745,2.252231467,0.265500214,1,0.173871739,0.007775864,0,-0.080896554,0.062919542,0.599682636,57,-0.008897757
DXYN,2017,6.72E-05,5.644874296,0.939470121,0.472482481,0,0.061247074,0.013781801,0,0.371569591,0.088131722,0.926862727,43,0.037762956
DG,2017,0.021366374,9.434835889,2.507487137,0.240151744,1,0.194684535,0.010276358,0,0.081132877,0.078655269,0.413463993,51,0.067512446
DCI,2017,0.155781179,7.590700597,3.799951356,0.308733647,1,0.203970299,0.001375282,0.023061681,0.181088044,0.077486488,0.620700106,54,0.068279061
DOV,2017,0.070743906,9.274033505,2.055804197,0.336197942,1,0.129595137,0.012056492,0.015961563,0.014540068,0.049652677,0.244319364,57,0.152493648
DWDP,2017,0.074904769,10.91680745,1.340451828,0.17730168,1,0.058319977,0.036763757,0.033768645,0.048765638,0.102625882,0.381465831,57,0.297479131
OMC,2017,0.152275061,10.12387531,1.567284487,0.201963804,1,0.093930497,0.003841859,0,-0.192100661,0.013797972,0.079021467,53,-0.009294994
ASNA,2017,0.084360067,8.261397308,0.906363167,0.397287873,0,0.136794524,0.012383543,0,-0.036523311,0.13131861,0.721451634,35,-0.049403894
DCO,2017,0.00379354,6.339923583,1.153225215,0.38121545,0,0.084513007,0.01150945,0,0.244600381,0.068626015,0.447228334,55,0.013694923
FLS,2017,0.143253991,8.499125754,1.781162645,0.320795304,1,0.085583591,0.018891796,0.010544054,0.124711382,0.030472618,0.333945155,55,-0.082610468
DYNT,2017,0.00978361,3.260555052,1.368180325,0.232811541,1,-0.015577041,0.008060075,0.030230997,0.214050031,0.047114794,0.406307551,33,0.175785874
DYSL,2017,0.082998247,3.370635076,1.040833076,0.110801801,0,0.024607348,0.034676331,0.024219504,0.094477094,0.076640203,0.584012097,43,-0.141752221
PKI,2017,0.033183161,8.714643562,1.913804831,0.32933123,1,0.07514254,0.014010941,0.061765668,0.007702419,0.050565193,0.103574297,57,0.066870179
EML,2017,0.126239672,5.173082888,1.435494282,0.199622573,1,0.1079407,0.008796168,0.018008226,0.263377121,0.057090072,0.398208072,57,0.484216034
ETN,2017,0.033565276,10.39277284,1.536538608,0.237593109,1,0.103056126,0.001531053,0.028621839,0.066425528,0.040615517,0.260705637,57,0.033270877
ECL,2017,0.010589909,9.901605783,2.5630816,0.36682463,1,0.147948143,0.006156004,0.014524906,0.04774977,0.079499459,0.357487076,57,0.05211818
EMR,2017,0.156312216,9.882723463,2.837843457,0.237684415,1,0.171524835,0.014552048,0.022274633,0.007402113,0.060339987,0.401909235,57,0.051094891
SORL,2017,0.007896056,6.367013256,0.925407511,0.321183,0,0.071011272,0.014061776,0.028180158,0.183379814,0.081885093,0.25403561,33,0.435107912
VKSC,2017,0.036491778,6.178226232,1.156737933,0.572776146,0,0.114888745,0.000469682,0.012620606,0.269090049,0.134049314,0.725540097,46,0.192074691
ENZ,2017,0.595987554,4.679024555,3.694951005,0.008396415,0,0.004941253,0.034631202,0.027160402,0.06601031,0.035907677,0.35583523,37,0.048952546
EFX,2017,0.049464982,8.886464467,2.519035585,0.373862914,1,0.171164321,0.002285474,0,-0.142795919,0.062322006,0.130920452,54,0.069095997
ERIC,2017,0.163492545,10.36966653,1.306091283,0.126830813,1,-0.034608331,0.080174977,0.188208778,0.056178609,0.028930532,0.159124746,55,0.004656362
ESCA,2017,0.010070145,5.050528858,1.417062874,0.148111848,1,0.118574037,0.002113706,0.009022573,0.378886006,0.042554691,0.274097563,43,0.057757232
ESL,2017,0.098661768,8.045592447,1.132956401,0.248988706,0,0.089402512,0.002229334,0.054880658,0.181759179,0.054270607,0.276510066,50,0.00343675
NEU,2017,0.049157961,7.445507506,3.382732628,0.35212954,1,0.228141861,0.041635397,0.063770353,0.252719674,0.154104128,0.861465733,57,0.072679464
ESCC,2017,0.223252097,3.220075105,1.320194567,0.070475429,0,0.080942869,0.030310275,0.095319261,0.026368358,0.016260487,0.466480224,39,-0.073943662
BOOM,2017,0.051899956,5.153771248,2.528221142,0.103903907,1,0.116551019,0.053291073,0.026804562,0.261989912,0.129868329,0.701045163,41,0.215847391
XOM,2017,0.009111219,10.91680745,1.47853819,0.121414089,1,0.091677158,0.015066856,0.004482168,-0.039616738,0.123785816,1.368503919,57,0.200710821
FMC,2017,0.030739819,9.127643311,2.089902834,0.346023918,1,0.063510857,0.031902652,0.049468492,0.12603326,-0.02425513,0.158706538,57,-0.123019742
FARM,2017,0.016828098,5.97313763,1.831255347,0.073372444,0,0.11201927,0.008150328,0,0.033834433,0.169930946,0.937897213,54,-0.005294077
RUSMF,2017,0.071513842,7.472557594,1.556268148,0.286680689,1,0.135012222,0.03771827,0,0.393780911,0.031152294,0.359615713,53,0.278212984
FSCR,2017,0.001358996,4.147600929,1.013564679,0.270629879,0,0.117742802,0.014647978,0,0.248396068,0.108751304,1.910701305,51,-0.002373428
FSS,2017,0.037790991,6.900025481,1.753804293,0.279854883,1,0.113272196,0.011810754,0.014468559,0.150357755,0.071651718,0.278343243,51,0.269247069
M,2017,0.076982612,9.872048484,1.103401803,0.303544709,1,0.1224911,0.002086334,0,0.045250503,0.02063877,0.582116506,57,-0.036503996
FOE,2017,0.037778459,7.427858928,1.973679439,0.446811382,0,0.127750413,0.003184767,0.026031293,0.241934084,0.103038755,0.490209261,57,0.219550997
FINGF,2017,0.089945012,8.53542596,1.66269231,0.264728987,1,0.111351139,0.014219052,0,0.29752553,0.029457973,0.338963079,49,0.11318408
